@@,itemlabel,positionlabel
---,Jo Yong-chol,Minister of Local Industry
+++,Ju Yong Il,Minister of Information Industry
---,Kim Jae-song,Minister of the Electronics Industry of North Korea
---,Ko Kil-son,Minister of Crude Oil of North Korea
---,Ri Kang-son,Minister of Consumer Goods Industry
