pageid,title,wikidata,label
5962511,Kim Jong-un,Q56226,Kim Jong-un
35506541,Choe Ryong-hae,Q714509,Choe Ryong-hae
40434843,Ri Yong-gil,Q12594419,Ri Yong-gil
48303817,Kim Tok-hun,Q25035961,Kim Tok-hun
55228753,Yu Chol-u,Q39670004,Yu Chol-u
57439707,Choe Son-hui,Q30436217,Choe Son-hui
61900255,Pak Thae-song,Q16905281,Pak Thae-song
62866630,Ri Son-gwon,Q55708195,Ri Son-gwon
63784859,Kang Jong-gwan,Q16904817,Kang Jong-gwan
63804165,Kang Chol-gu,Q63773435,Kang Chol-gu
63804214,Wang Chang-uk,Q57071116,Wang Chang-uk
63835753,Kim Sung-du,Q16907639,Kim Sung-du
63866441,Pak Su-il,Q56820402,Pak Su-il
69611709,Jang Kyong-il,Q21651765,Jang Kyong-il
71815482,Ri Chang-dae,Q114088685,Ri Chang-dae
71815522,Ri Thae-sop,Q12594451,Ri Thae-sop
