wpid,wpdobstr,wpdob
35506541,"January 15, 1950",1950-01-15
40434843,1952 (age 70),
48303817,1961 (age 61),
57439707,"August 10, 1964",1964-08-10
5962511,"January 8, 1982 (per North Korean sources)",1982-01-08
61900255,"September 14, 1955",1955-09-14
63784859,1959,
63804214,"May 29, 1960",1960-05-29
63835753,"March 1, 1958",1958-03-01
69611709,"December 27, 1985",1985-12-27
