position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q2961990,Chief of General Staff of the Korean People's Army,Q423,North Korea,,,,,,,,,,,,
Q4330651,Supreme Commander of the Korean People's Army,,,,,,,,,,,,,,
Q7240364,Premier of North Korea,Q423,North Korea,Q423,North Korea,1948-09-09,,,,,,,,,
Q21328639,member of the Supreme People's Assembly,Q423,North Korea,Q423,North Korea,,,,,,,,,,
Q24863173,Vice Premier of North Korea,Q423,North Korea,,,,,,,,,,,,
Q29025176,North Korean Ambassador to the United Kingdom,Q423,North Korea,,,,,,,,,,,,
Q30160586,ambassador of North Korea,Q423,North Korea,,,,,,,,,,,Q30160595,list of ambassadors of North Korea
Q30623700,North Korean Ambassador to Germany,Q423,North Korea,,,,,,,,,,,,
Q30944956,President of the Presidium of the Supreme People's Assembly,,,Q423,North Korea,,,,,,,,,,
Q56876342,Supreme Leader of North Korea,Q423,North Korea,Q423,North Korea,1940-01-01,,,,,,,,,
Q96418064,Chairman of the Supreme People's Assembly,Q423,North Korea,Q423,North Korea,,,,,,,,,,
Q98704299,Vice President of the Presidium of the Supreme People's Assembly,,,Q423,North Korea,,,,,,,,,,
Q98796533,Vice Chairman of the Supreme People's Assembly,,,Q423,North Korea,,,,,,,,,,
Q98796817,Secretary General of the Presidium of the Supreme People's Assembly,,,Q423,North Korea,,,,,,,,,,
Q106300005,ambassador of North-Korea to Austria,Q423,North Korea,,,,,,,,,,,,
Q106452621,ambassador of North Korea to Equatorial Guinea,Q423,North Korea,,,,,,,,,,,,
Q107420194,North Korean Ambassador to Syria,Q423,North Korea,,,,,,,,,,,,
Q113470538,Minister of Foreign Affairs of the Democratic People's Republic of Korea,,,Q423,North Korea,,,,,,,,,,
Q113947125,Minister of Post and Telecommunications,,,Q423,North Korea,,,,,,,,,,
Q113947130,Minister of Finance (North Korea),Q423,North Korea,Q423,North Korea,,,,,,,,,,
Q113947137,Minister of Foreign Trade of North Korea,,,Q423,North Korea,,,,,,,,,,
Q113947138,Minister of Public Health of North Korea,,,Q423,North Korea,,,,,,,,,,
Q113947153,Minister of Atomic Energy Industry,,,Q423,North Korea,,,,,,,,,,
Q113947161,Minister of Construction and Building-Materials Industry,,,Q423,North Korea,,,,,,,,,,
Q113947195,Minister of Culture,,,Q423,North Korea,,,,,,,,,,
Q113947226,Minister of Forestry,,,Q423,North Korea,,,,,,,,,,
Q113947249,Minister of Labor,,,Q423,North Korea,,,,,,,,,,
Q113947277,Minister of Light Industry,,,Q423,North Korea,,,,,,,,,,
Q113947301,Minister of State Construction Control,,,Q423,North Korea,,,,,,,,,,
Q113947341,Minister of State Natural Resources Development,,,Q423,North Korea,,,,,,,,,,
Q113947388,Minister of Justice of North Korea,,,Q423,North Korea,,,,,,,,,,
Q114593268,Minister of Land and Environment Protection,,,Q423,North Korea,,,,,,,,,,
Q114593273,Minister of Land and Maritime Transport,,,Q423,North Korea,,,,,,,,,,
Q114593315,Minister of Chemical Industry of North Korea,,,Q423,North Korea,,,,,,,,,,
Q114593340,Minister of the Coal Industry of North Korea,,,Q423,North Korea,,,,,,,,,,
Q114593358,Minister of Commerce,,,Q423,North Korea,,,,,,,,,,
Q114593368,Minister of the Electronics Industry of North Korea,,,Q423,North Korea,,,,,,,,,,
Q114593389,Minister of Fisheries of North Korea,,,Q423,North Korea,,,,,,,,,,
Q114593402,Minister of Higher Education of North Korea,,,Q423,North Korea,,,,,,,,,,
Q114593410,Minister of Metal Industry of the Democratic People's Republic of Korea,,,Q423,North Korea,,,,,,,,,,
Q114593420,Minister of Machine-Building Industry of North Korea,,,Q423,North Korea,,,,,,,,,,
Q114593431,Minister of Crude Oil of North Korea,,,Q423,North Korea,,,,,,,,,,
Q114593457,Minister of Urban Management of the Democratic People's Republic of Korea,,,Q423,North Korea,,,,,,,,,,
Q114593476,President of the Central Bank of the Democratic People's Republic of Korea,Q423,North Korea,,,,,,,,,,,,
Q114593490,President of the Academy of Sciences of the Democratic People's Republic of Korea,Q423,North Korea,Q423,North Korea,,,,,,,,,,
Q114593549,President of the Board of Education,Q423,North Korea,,,,,,,,,,,,
Q114593575,Chairperson of the State Science and Technology Commission,Q423,North Korea,,,,,,,,,,,,
Q114593584,Chairperson of the State Planning Commission of North Korea,Q423,North Korea,,,,,,,,,,,,
Q114593604,Director of the Central Bureau of Statistics of North Korea,Q423,North Korea,,,,,,,,,,,,
Q114593614,Secretary General of the Cabinet,,,Q423,North Korea,,,,,,,,,,
Q114593639,Minister of the Electric Power Industry of North Korea,,,Q423,North Korea,,,,,,,,,,
Q114593665,Minister of the Extraction Industry of North Korea,,,Q423,North Korea,,,,,,,,,,
