position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q98703778,Vice Chairman of the Workers' Party of Korea,,,5,Q56818689
Q98802377,member of the Politburo of the Workers' Party of Korea,,,5,Q56818689
Q84704434,member of State Affairs Commission,,North Korea,4,Q56818689
Q98801004,member of the Presidium of the Politburo of the Workers' Party of Korea,,,4,Q25035961
Q707631,General Secretary of the Workers' Party of Korea,,Workers' Party of Korea,2,Q56226
Q709616,President of the State Affairs Commission,,,2,Q56226
Q121998,ambassador,,,2,Q494061
Q877955,deputy prime minister,,<noval>,2,Q56825043
Q7330070,foreign minister,,<noval>,2,Q12594422
Q98704207,First Vice Chairman of the State Affairs Commission,,,1,Q714509
Q98704213,Vice Chairman of the State Affairs Commission,,,1,Q494800
Q44506258,Vice President of North Korea,,,1,Q1062006
Q877955,deputy prime minister,North Korea,<noval>,1,Q3183240
Q4018482,education minister,,<noval>,1,Q710692
Q98803975,member of funeral committee of Hwang Sun-hui,,,1,Q714509
Q2621182,minister of culture,,,1,Q10855116
