item,itemLabel,startDate,endDate,sourceDate,psid
Q335164,Hong Song-nam,1998-09-05,2003-09-03,2022-09-12,Q335164-2F8E7635-35AF-4D78-9EE6-F745D7ECCFB3
Q494800,Pak Pong-ju,2003-09-03,2007-04-11,,Q494800-82DEB5D8-A6C9-4A5E-BC3B-D95060A92A1A
Q310875,Kim Yong-il,2007-04-11,2010-06-07,,Q310875-24e036b8-4bc2-9933-fdd1-823e6a4ab686
Q310889,Choe Yong-rim,2010-06-07,2013-04-01,,Q310889-3877F102-150A-4B4B-8F29-0240CE0F885A
Q494800,Pak Pong-ju,2013-04-01,2019-04-11,,Q494800-2B00FE3F-5F14-477C-8511-BE7F9BECFC65
Q56818689,Kim Jae-ryong,2019-04-11,2020-08-13,,Q56818689-9494599e-43e3-bf6b-4f3b-a8e99c27f9e2
Q25035961,Kim Tok-hun,2020-08-13,,,Q25035961-6f0c8fcd-41d5-94c7-940a-868cf8570da2
