@@,item,itemlabel,position,positionlabel,enddate,psid
---,Q63777865,Choe Kang,Q114595950,Chairperson of the State Price Commission,,Q63777865-f0900621-4454-81c2-1c3c-a491a9071446
---,Q63776950,Jang Ki-ho,Q114595955,Chairperson of the National Censorship Committee,,Q63776950-e18263ad-426a-01eb-dbd9-a8dc7e1b079f
---,Q63777382,Jo Sok-ho,Q114595966,Chairperson of the Capital Construction Commission,,Q63777382-e01bd1df-4c2a-0ca6-3203-a01f1f6adeab
---,Q55734042,Jong Kyong-thaek,Q114594459,Minister of State Security,2022-06,Q55734042-099DB848-D105-4460-9A09-473DE2B12CE5
---,Q114595858,Kim Jong Nam,Q114593420,Minister of Machine-Building Industry of North Korea,,Q114595858-e8300236-492e-d341-6c59-5e4a27722274
---,Q114595747,Kim Sung Chan,Q114593402,Minister of Higher Education of North Korea,,Q114595747-54A097A6-1945-45CB-93DE-D17008B9EE98
---,Q63775066,Ri Chol-jin,Q114595971,Chairperson of the National Quality Management Commission,,Q63775066-9d9b97da-4855-68b2-2f51-0958760d4360
---,Q55708195,Ri Son-gwon,Q114595975,Chairperson of the Committee for the Peaceful Reunification of the Fatherland,,Q55708195-63b33fe8-4aec-fdca-ecf9-f036a61c2075
---,Q12594419,Ri Yong-gil,Q114595547,Minister of National Defence,,Q12594419-80E54E38-2678-44C2-8F09-01E47312BC98
->,Q63776707,Yang Sung-ho,Q24863173,Vice Premier of North Korea->Minister of Machine-Building Industry,,Q63776707-e56de6ee-4583-445b-abb5-a0c7cf0304fe
---,Q39670004,Yu Chol-u,Q114595990,Director of the National Aerospace Development Administration,,Q39670004-7aea2ba9-4baa-dc81-fa9c-4c2b340c0d43
