who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
48303817,Q7240364,Premier of North Korea,2020-08-13,,Q56818689,Kim Jae-ryong,,,0
48303817,State Affairs Commission of North Korea,Vice President of the State Affairs Commission,2019-09-29,,,,,,1
48303817,Workers' Party of Korea,Head of the Cadre Affairs Department of the Workers' Party of Korea,2019-12-31,2020-08-13,Kim Phyong-hae,Kim Phyong-hae,,,2
48303817,Q24863173,Vice Premier of North Korea,2019-04-11,2020-08-13,,,,,3
48303817,,,2014-04-30,2019-04-11,,,,,4
