item,itemLabel,startDate,endDate,sourceDate,psid
Q494061,Paek Nam-sun,1998-09-05,2007-01-02,2022-09-12,Q494061-6EBE9EAF-5894-4352-9BC1-4ADD8F3E9A3E
Q705608,Kang Sok-ju,2007-01-03,2007-05-18,2022-09-12,Q705608-D0C2A71D-2534-48FA-A1C8-AEA98AE58A3F
Q58214,Pak Ui-chun,2007-05-18,2014-04-09,2022-09-12,Q58214-43F15BBD-3A77-4620-8FDE-F94FBD7C0B19
Q9310191,Ri Su-yong,2014-04-09,2016-05-09,2022-09-12,Q9310191-09354A77-7127-4CDF-BFD2-1C26FD1DC706
Q12594422,Ri Yong-ho,2016-05-13,2020-01-18,2022-09-12,Q12594422-9962E2C6-AA7B-4890-94B1-EE3096AB5C95
Q55708195,Ri Son-gwon,2020-01-21,2022-06-11,,Q55708195-E2CB4E9A-E996-4A16-9D8E-8DC171497B11
Q30436217,Choe Son-hui,2022-06-11,,,Q30436217-c277791f-4148-48de-0364-9dace1cecb32
