position,title
Q4330651,Supreme Commander of the Korean People's Army
Q96418064,Chairman of the Supreme People's Assembly
Q98796533,Vice Chairman of the Supreme People's Assembly
Q30944956,President of the Presidium of the Supreme People's Assembly
Q98704299,Vice President of the Presidium of the Supreme People's Assembly
Q98796817,Secretary General of the Presidium of the Supreme People's Assembly
Q106300005,ambassador to Austria
Q106452621,ambassador to Equatorial Guinea
Q30623700,ambassador to Germany
Q107420194,ambassador to Syria
Q29025176,ambassador to the United Kingdom
Q30160586,ambassador
